date,source,series_code,series_name,value
1989-01-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-01-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,22.97
1989-01-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0002141963
1989-01-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,37.4900131389703
1989-01-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,37.49
1989-02-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-02-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,18.95
1989-02-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0002501384201
1989-02-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,16.7799911109576
1989-02-28,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,16.78
1989-03-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-03-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,20.41
1989-03-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0002671978428
1989-03-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,6.81999298355687
1989-03-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,6.82
1989-04-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-04-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,11.52
1989-04-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0002894554586
1989-04-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,8.33001328407432
1989-04-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,8.33
1989-05-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-05-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,11.43
1989-05-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0003413257896
1989-05-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,17.9199698809895
1989-05-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,17.92
1989-06-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-06-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,27.29
1989-06-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0004391155989
1989-06-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,28.6499913805517
1989-06-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,28.65
1989-07-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-07-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,33.15
1989-07-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0005609261703
1989-07-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,27.7399781982557
1989-07-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,27.74
1989-08-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-08-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,35.49
1989-08-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0007500144816
1989-08-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,33.7100177014151
1989-08-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,33.71
1989-09-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-09-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,38.58
1989-09-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.001031719911
1989-09-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,37.5599986814975
1989-09-30,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,37.56
1989-10-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
1989-10-01,bcb,br_selic_bcb_monthly_rate,Taxa Selic acumulada no mes,47.7
1989-10-01,ipea,br_ipca_ipea_index,IPCA geral - indice,0.0014420348808
1989-10-01,ipea,br_ipca_ipea_mom,IPCA geral - variacao mensal,39.7699962388339
1989-10-31,sidra,br_ipca_sidra_mom,IPCA geral - variacao mensal,39.77
1989-11-01,bcb,br_credit_stock_bcb_total,Saldo da carteira de credito - total,0.0
